order_line_id,prescription_code
OL_cf546e90b9d4f0d2,647303430
OL_84025af2eae3ec3c,647303840
OL_02869b2e7c670d8e,645301200
OL_97590bf8b3a39c29,628900930
OL_d3e8f270627c34d9,628901650
OL_75affdfc6364110c,653801460
OL_e7d80f2ab6ef5849,668902580
OL_0abced488d981471,2CHOK20
OL_ddeed6590c7822ee,AA254090
OL_2ce671297a76b098,AA254
OL_1ae23c4f611a7674,IC001
OL_061e2640adf615c4,642902290
OL_5b0d0784d8d1c9d0,643309280
OL_0e7e152602ae9bdb,647804900
OL_57175054ba5941a8,653700240
OL_72b9e84652170c39,653801510
OL_82b8da132f39bb94,657202960
OL_a3194435f4cf6ac9,647302890
OL_b4732cc05c2fee88,642204180
OL_cd45f884ffbc8c11,AA254090
OL_3e6d68b196c70f49,AA254
OL_f1b1ec4277e28d85,IC001
OL_b59e104eb2c04208,628900030
OL_06c3bccdf5fb2272,628900300
OL_c50970a5e23c3cd7,628902310
OL_d93fbfb0341c2aba,642104820
OL_bc444d150951c758,645902322
OL_b5fd451946f9c543,642204410
OL_50d9c736cbbe80cb,AAA
OL_f7aa7bfeedea58d6,AL801
OL_349595194876b1d4,AN500004
OL_35b686e8a4cf7958,KK052
OL_8f7c4f99b5479026,M0121
OL_934a8c57f3cc32cd,M3010306
OL_7a83c622be663ef6,M3010310
OL_abb71c7be1602e72,M3105002
OL_2587b9cbd9e00784,KK059
OL_85e1b244916d3640,640006031
OL_e0372cbc6d60c806,TNA480
OL_8341af0e9043aabc,AAA
OL_21817f1f15ecc672,AN500004
OL_426d5b403593ee7e,BAS
OL_65853e69cbd6c0d7,D0113
OL_e12f4558b551bc8e,D1830
OL_a14dbbd375f4fda9,D1840
OL_8785a38f29f7e53e,D1850
OL_73c18f0be2429914,D1860
OL_6c794864f7b93840,D1870
OL_a3534eee76430e2c,D1880
OL_ed43ed50715e27ff,D1890
OL_583d706d5ddba065,D2253
OL_42537da4a94d9673,D2280
OL_395eab0d19682c8d,D2300
OL_28208f8ab565833a,D2310
OL_1c7dfe19f64b812c,D2611
OL_17b1a6ef102a5bbf,D2800020
OL_261fb66501b6be0e,D2800030
OL_2e6ea39ea048c8a6,D2800060
OL_2326ea5ac8e97cd4,D3022
